VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
0.7071,   0.0000,  -0.0000, 1559.3591,   9.8000
0.7021,   0.0000,  -0.0000, 1546.2646,   9.8000
0.6971,   0.0000,  -0.0000, 1533.1863,   9.8000
0.6921,   0.0000,  -0.0000, 1520.1244,   9.8000
0.6871,   0.0000,  -0.0000, 1507.0792,   9.8000
0.6821,   0.0000,  -0.0000, 1494.0508,   9.8000
0.6771,   0.0000,  -0.0000, 1481.0394,   9.8000
0.6721,   0.0000,  -0.0000, 1468.0451,   9.8000
0.6671,   0.0000,  -0.0000, 1455.0682,   9.8000
0.6621,   0.0000,  -0.0000, 1442.1088,   9.8000
0.6571,   0.0000,  -0.0000, 1429.1671,   9.8000
0.6521,   0.0000,  -0.0000, 1416.2434,   9.8000
0.6471,   0.0000,  -0.0000, 1403.3377,   9.8000
0.6421,   0.0000,  -0.0000, 1390.4504,   9.8000
0.6371,   0.0000,  -0.0000, 1377.5816,   9.8000
0.6321,   0.0000,  -0.0000, 1364.7315,   9.8000
0.6271,   0.0000,  -0.0000, 1351.9003,   9.8000
0.6221,   0.0000,  -0.0000, 1339.0882,   9.8000
0.6171,   0.0000,  -0.0000, 1326.2955,   9.8000
0.6121,   0.0000,  -0.0000, 1313.5222,   9.8000
0.6071,   0.0000,  -0.0000, 1300.7688,   9.8000
0.6021,   0.0000,  -0.0000, 1288.0353,   9.8000
0.5971,   0.0000,  -0.0000, 1275.3220,   9.8000
0.5921,   0.0000,  -0.0000, 1262.6292,   9.8000
0.5871,   0.0000,  -0.0000, 1249.9569,   9.8000
0.5821,   0.0000,  -0.0000, 1237.3056,   9.8000
0.5771,   0.0000,  -0.0000, 1224.6753,   9.8000
0.5721,   0.0000,  -0.0000, 1212.0664,   9.8000
0.5671,   0.0000,  -0.0000, 1199.4790,   9.8000
0.5621,   0.0000,  -0.0000, 1186.9135,   9.8000
0.5571,   0.0000,  -0.0000, 1174.3700,   9.8000
0.5521,   0.0000,  -0.0000, 1161.8488,   9.8000
0.5471,   0.0000,  -0.0000, 1149.3502,   9.8000
0.5421,   0.0000,  -0.0000, 1136.8744,   9.8000
0.5371,   0.0000,  -0.0000, 1124.4216,   9.8000
0.5321,   0.0000,  -0.0000, 1111.9922,   9.8000
0.5271,   0.0000,  -0.0000, 1099.5863,   9.8000
0.5221,   0.0000,  -0.0000, 1087.2043,   9.8000
0.5171,   0.0000,  -0.0000, 1074.8464,   9.8000
0.5121,   0.0000,  -0.0000, 1062.5129,   9.8000
0.5071,   0.0000,  -0.0000, 1050.2040,   9.8000
0.5021,   0.0000,  -0.0000, 1037.9201,   9.8000
0.4971,   0.0000,  -0.0000, 1025.6614,   9.8000
0.4921,   0.0000,  -0.0000, 1013.4282,   9.8000
0.4871,   0.0000,  -0.0000, 1001.2208,   9.8000
0.4821,   0.0000,  -0.0000, 989.0395,   9.8000
0.4771,   0.0000,  -0.0000, 976.8846,   9.8000
0.4721,   0.0000,  -0.0000, 964.7564,   9.8000
0.4671,   0.0000,  -0.0000, 952.6552,   9.8000
0.4621,   0.0000,  -0.0000, 940.5813,   9.8000
0.4571,   0.0000,  -0.0000, 928.5350,   9.8000
0.4521,   0.0000,  -0.0000, 916.5166,   9.8000
0.4471,   0.0000,  -0.0000, 904.5265,   9.8000
0.4421,   0.0000,  -0.0000, 892.5650,   9.8000
0.4371,   0.0000,  -0.0000, 880.6323,   9.8000
0.4321,   0.0000,  -0.0000, 868.7289,   9.8000
0.4271,   0.0000,  -0.0000, 856.8551,   9.8000
0.4221,   0.0000,  -0.0000, 845.0112,   9.8000
0.4171,   0.0000,  -0.0000, 833.1975,   9.8000
0.4121,   0.0000,  -0.0000, 821.4145,   9.8000
0.4071,   0.0000,  -0.0000, 809.6624,   9.8000
0.4021,   0.0000,  -0.0000, 797.9417,   9.8000
0.3971,   0.0000,  -0.0000, 786.2526,   9.8000
0.3921,   0.0000,  -0.0000, 774.5956,   9.8000
0.3871,   0.0000,  -0.0000, 762.9710,   9.8000
0.3821,   0.0000,  -0.0000, 751.3792,   9.8000
0.3771,   0.0000,  -0.0000, 739.8205,   9.8000
0.3721,   0.0000,  -0.0000, 728.2955,   9.8000
0.3671,   0.0000,  -0.0000, 716.8044,   9.8000
0.3621,   0.0000,  -0.0000, 705.3476,   9.8000
0.3571,   0.0000,  -0.0000, 693.9256,   9.8000
0.3521,   0.0000,  -0.0000, 682.5388,   9.8000
0.3471,   0.0000,  -0.0000, 671.1875,   9.8000
0.3421,   0.0000,  -0.0000, 659.8723,   9.8000
0.3371,   0.0000,  -0.0000, 648.5934,   9.8000
0.3321,   0.0000,  -0.0000, 637.3513,   9.8000
0.3271,   0.0000,  -0.0000, 626.1465,   9.8000
0.3221,   0.0000,  -0.0000, 614.9794,   9.8000
0.3171,   0.0000,  -0.0000, 603.8505,   9.8000
0.3121,   0.0000,  -0.0000, 592.7601,   9.8000
0.3071,   0.0000,  -0.0000, 581.7088,   9.8000
0.3021,   0.0000,  -0.0000, 570.6969,   9.8000
0.2971,   0.0000,  -0.0000, 559.7250,   9.8000
0.2921,   0.0000,  -0.0000, 548.7936,   9.8000
0.2871,   0.0000,  -0.0000, 537.9030,   9.8000
0.2821,   0.0000,  -0.0000, 527.0538,   9.8000
0.2771,   0.0000,  -0.0000, 516.2465,   9.8000
0.2721,   0.0000,  -0.0000, 505.4816,   9.8000
0.2671,   0.0000,  -0.0000, 494.7595,   9.8000
0.2621,   0.0000,  -0.0000, 484.0807,   9.8000
0.2571,   0.0000,  -0.0000, 473.4458,   9.8000
0.2521,   0.0000,  -0.0000, 462.8553,   9.8000
0.2471,   0.0000,  -0.0000, 452.3098,   9.8000
0.2421,   0.0000,  -0.0000, 441.8096,   9.8000
0.2371,   0.0000,  -0.0000, 431.3554,   9.8000
0.2321,   0.0000,  -0.0000, 420.9477,   9.8000
0.2271,   0.0000,  -0.0000, 410.5871,   9.8000
0.2221,   0.0000,  -0.0000, 400.2740,   9.8000
0.2171,   0.0000,  -0.0000, 390.0092,   9.8000
0.2121,   0.0000,  -0.0000, 379.7930,   9.8000
0.2071,   0.0000,  -0.0000, 369.6261,   9.8000
0.2021,   0.0000,  -0.0000, 359.5092,   9.8000
0.1971,   0.0000,  -0.0000, 349.4426,   9.8000
0.1921,   0.0000,  -0.0000, 339.4271,   9.8000
0.1871,   0.0000,  -0.0000, 329.4633,   9.8000
0.1821,   0.0000,  -0.0000, 319.5517,   9.8000
0.1771,   0.0000,  -0.0000, 309.6930,   9.8000
0.1721,   0.0000,  -0.0000, 299.8877,   9.8000
0.1671,   0.0000,  -0.0000, 290.1365,   9.8000
0.1621,   0.0000,  -0.0000, 280.4401,   9.8000
0.1571,   0.0000,  -0.0000, 270.7990,   9.8000
0.1521,   0.0000,  -0.0000, 261.2139,   9.8000
0.1471,   0.0000,  -0.0000, 251.6855,   9.8000
0.1421,   0.0000,  -0.0000, 242.2144,   9.8000
0.1371,   0.0000,  -0.0000, 232.8013,   9.8000
0.1321,   0.0000,  -0.0000, 223.4468,   9.8000
0.1271,   0.0000,  -0.0000, 214.1516,   9.8000
0.1221,   0.0000,  -0.0000, 204.9165,   9.8000
0.1171,   0.0000,  -0.0000, 195.7420,   9.8000
0.1121,   0.0000,  -0.0000, 186.6289,   9.8000
0.1071,   0.0000,  -0.0000, 177.5779,   9.8000
0.1021,   0.0000,  -0.0000, 168.5898,   9.8000
0.0971,   0.0000,  -0.0000, 159.6651,   9.8000
0.0921,   0.0000,  -0.0000, 150.8047,   9.8000
0.0871,   0.0000,  -0.0000, 142.0093,   9.8000
0.0821,   0.0000,  -0.0000, 133.2796,   9.8000
0.0771,   0.0000,  -0.0000, 124.6163,   9.8000
0.0721,   0.0000,  -0.0000, 116.0202,   9.8000
0.0671,   0.0000,  -0.0000, 107.4922,   9.8000
0.0621,   0.0000,  -0.0000,  99.0328,   9.8000
0.0571,   0.0000,  -0.0000,  90.6429,   9.8000
0.0521,   0.0000,  -0.0000,  82.3233,   9.8000
0.0471,   0.0000,  -0.0000,  74.0748,   9.8000
0.0421,   0.0000,  -0.0000,  65.8981,   9.8000
0.0371,   0.0000,  -0.0000,  57.7940,   9.8000
0.0321,   0.0000,  -0.0000,  49.7634,   9.8000
0.0271,   0.0000,  -0.0000,  41.8070,   9.8000
0.0221,   0.0000,  -0.0000,  33.9256,   9.8000
0.0171,   0.0000,  -0.0000,  26.1202,   9.8000
0.0121,   0.0000,  -0.0000,  18.3914,   9.8000
0.0071,   0.0000,  -0.0000,  10.7401,   9.8000
0.0021,   0.0000,  -0.0000,   3.1672,   9.8000
-0.0029,   0.0000,  -0.0000,  -4.3265,   9.8000
-0.0079,   0.0000,  -0.0000, -11.7402,   9.8000
-0.0129,   0.0000,  -0.0000, -19.0729,   9.8000
-0.0179,   0.0000,  -0.0000, -26.3240,   9.8000
-0.0229,   0.0000,  -0.0000, -33.4924,   9.8000
-0.0279,   0.0000,  -0.0000, -40.5774,   9.8000
-0.0329,   0.0000,  -0.0000, -47.5780,   9.8000
-0.0379,   0.0000,  -0.0000, -54.4935,   9.8000
-0.0429,   0.0000,  -0.0000, -61.3228,   9.8000
-0.0479,   0.0000,  -0.0000, -68.0653,   9.8000
-0.0529,   0.0000,  -0.0000, -74.7198,   9.8000
-0.0579,   0.0000,  -0.0000, -81.2857,   9.8000
-0.0629,   0.0000,  -0.0000, -87.7620,   9.8000
-0.0679,   0.0000,  -0.0000, -94.1478,   9.8000
-0.0729,   0.0000,  -0.0000, -100.4421,   9.8000
-0.0779,   0.0000,  -0.0000, -106.6442,   9.8000
-0.0829,   0.0000,  -0.0000, -112.7532,   9.8000
-0.0879,   0.0000,  -0.0000, -118.7680,   9.8000
-0.0929,   0.0000,  -0.0000, -124.6879,   9.8000
-0.0979,   0.0000,  -0.0000, -130.5120,   9.8000
-0.1029,   0.0000,  -0.0000, -136.2393,   9.8000
-0.1079,   0.0000,  -0.0000, -141.8689,   9.8000
-0.1129,   0.0000,  -0.0000, -147.3999,   9.8000
-0.1179,   0.0000,  -0.0000, -152.8316,   9.8000
-0.1229,   0.0000,  -0.0000, -158.1628,   9.8000
-0.1279,   0.0000,  -0.0000, -163.3928,   9.8000
-0.1329,   0.0000,  -0.0000, -168.5207,   9.8000
-0.1379,   0.0000,  -0.0000, -173.5456,   9.8000
-0.1429,   0.0000,  -0.0000, -178.4666,   9.8000
-0.1479,   0.0000,  -0.0000, -183.2828,   9.8000
-0.1529,   0.0000,  -0.0000, -187.9934,   9.8000
-0.1579,   0.0000,  -0.0000, -192.5975,   9.8000
-0.1629,   0.0000,  -0.0000, -197.0941,   9.8000
-0.1679,   0.0000,  -0.0000, -201.4825,   9.8000
-0.1729,   0.0000,  -0.0000, -205.7618,   9.8000
-0.1779,   0.0000,  -0.0000, -209.9312,   9.8000
-0.1829,   0.0000,  -0.0000, -213.9898,   9.8000
-0.1879,   0.0000,  -0.0000, -217.9368,   9.8000
-0.1929,   0.0000,  -0.0000, -221.7714,   9.8000
-0.1979,   0.0000,  -0.0000, -225.4927,   9.8000
-0.2029,   0.0000,  -0.0000, -229.1000,   9.8000
-0.2079,   0.0000,  -0.0000, -232.5925,   9.8000
-0.2129,   0.0000,  -0.0000, -235.9694,   9.8000
-0.2179,   0.0000,  -0.0000, -239.2299,   9.8000
-0.2229,   0.0000,  -0.0000, -242.3734,   9.8000
-0.2279,   0.0000,  -0.0000, -245.3990,   9.8000
-0.2329,   0.0000,  -0.0000, -248.3061,   9.8000
-0.2379,   0.0000,  -0.0000, -251.0939,   9.8000
-0.2429,   0.0000,  -0.0000, -253.7618,   9.8000
-0.2479,   0.0000,  -0.0000, -256.3091,   9.8000
-0.2529,   0.0000,  -0.0000, -258.7351,   9.8000
-0.2579,   0.0000,  -0.0000, -261.0393,   9.8000
-0.2629,   0.0000,  -0.0000, -263.2210,   9.8000
-0.2679,   0.0000,  -0.0000, -265.2796,   9.8000
-0.2729,   0.0000,  -0.0000, -267.2145,   9.8000
-0.2779,   0.0000,  -0.0000, -269.0253,   9.8000
-0.2829,   0.0000,  -0.0000, -270.7115,   9.8000
-0.2879,   0.0000,  -0.0000, -272.2724,   9.8000
-0.2929,   0.0000,  -0.0000, -273.7077,   9.8000
-0.2979,   0.0000,  -0.0000, -275.0169,   9.8000
-0.3029,   0.0000,  -0.0000, -276.1997,   9.8000
-0.3079,   0.0000,  -0.0000, -277.2555,   9.8000
-0.3129,   0.0000,  -0.0000, -278.1842,   9.8000
-0.3179,   0.0000,  -0.0000, -278.9853,   9.8000
-0.3229,   0.0000,  -0.0000, -279.6587,   9.8000
-0.3279,   0.0000,  -0.0000, -280.2039,   9.8000
-0.3329,   0.0000,  -0.0000, -280.6209,   9.8000
-0.3379,   0.0000,  -0.0000, -280.9095,   9.8000
-0.3429,   0.0000,  -0.0000, -281.0694,   9.8000
-0.3479,   0.0000,  -0.0000, -281.1006,   9.8000
-0.3529,   0.0000,  -0.0000, -281.0031,   9.8000
-0.3579,   0.0000,  -0.0000, -280.7768,   9.8000
-0.3629,   0.0000,  -0.0000, -280.4217,   9.8000
-0.3679,   0.0000,  -0.0000, -279.9379,   9.8000
-0.3729,   0.0000,  -0.0000, -279.3254,   9.8000
-0.3779,   0.0000,  -0.0000, -278.5845,   9.8000
-0.3829,   0.0000,  -0.0000, -277.7153,   9.8000
-0.3879,   0.0000,  -0.0000, -276.7180,   9.8000
-0.3929,   0.0000,  -0.0000, -275.5930,   9.8000
-0.3979,   0.0000,  -0.0000, -274.3406,   9.8000
-0.4029,   0.0000,  -0.0000, -272.9611,   9.8000
-0.4079,   0.0000,  -0.0000, -271.4549,   9.8000
-0.4129,   0.0000,  -0.0000, -269.8227,   9.8000
-0.4179,   0.0000,  -0.0000, -268.0648,   9.8000
-0.4229,   0.0000,  -0.0000, -266.1819,   9.8000
-0.4279,   0.0000,  -0.0000, -264.1746,   9.8000
-0.4329,   0.0000,  -0.0000, -262.0436,   9.8000
-0.4379,   0.0000,  -0.0000, -259.7897,   9.8000
-0.4429,   0.0000,  -0.0000, -257.4137,   9.8000
-0.4479,   0.0000,  -0.0000, -254.9164,   9.8000
-0.4529,   0.0000,  -0.0000, -252.2987,   9.8000
-0.4579,   0.0000,  -0.0000, -249.5616,   9.8000
-0.4629,   0.0000,  -0.0000, -246.7062,   9.8000
-0.4679,   0.0000,  -0.0000, -243.7336,   9.8000
-0.4729,   0.0000,  -0.0000, -240.6448,   9.8000
-0.4779,   0.0000,  -0.0000, -237.4411,   9.8000
-0.4829,   0.0000,  -0.0000, -234.1239,   9.8000
-0.4879,   0.0000,  -0.0000, -230.6943,   9.8000
-0.4929,   0.0000,  -0.0000, -227.1538,   9.8000
-0.4979,   0.0000,  -0.0000, -223.5039,   9.8000
-0.5029,   0.0000,  -0.0000, -219.7460,   9.8000
-0.5079,   0.0000,  -0.0000, -215.8818,   9.8000
-0.5129,   0.0000,  -0.0000, -211.9128,   9.8000
-0.5179,   0.0000,  -0.0000, -207.8408,   9.8000
-0.5229,   0.0000,  -0.0000, -203.6675,   9.8000
-0.5279,   0.0000,  -0.0000, -199.3947,   9.8000
-0.5329,   0.0000,  -0.0000, -195.0243,   9.8000
-0.5379,   0.0000,  -0.0000, -190.5583,   9.8000
-0.5429,   0.0000,  -0.0000, -185.9985,   9.8000
-0.5479,   0.0000,  -0.0000, -181.3471,   9.8000
-0.5529,   0.0000,  -0.0000, -176.6062,   9.8000
-0.5579,   0.0000,  -0.0000, -171.7779,   9.8000
-0.5629,   0.0000,  -0.0000, -166.8644,   9.8000
-0.5679,   0.0000,  -0.0000, -161.8681,   9.8000
-0.5729,   0.0000,  -0.0000, -156.7912,   9.8000
-0.5779,   0.0000,  -0.0000, -151.6361,   9.8000
-0.5829,   0.0000,  -0.0000, -146.4053,   9.8000
-0.5879,   0.0000,  -0.0000, -141.1012,   9.8000
-0.5929,   0.0000,  -0.0000, -135.7264,   9.8000
-0.5979,   0.0000,  -0.0000, -130.2835,   9.8000
-0.6029,   0.0000,  -0.0000, -124.7750,   9.8000
-0.6079,   0.0000,  -0.0000, -119.2037,   9.8000
-0.6129,   0.0000,  -0.0000, -113.5722,   9.8000
-0.6179,   0.0000,  -0.0000, -107.8834,   9.8000
-0.6229,   0.0000,  -0.0000, -102.1400,   9.8000
-0.6279,   0.0000,  -0.0000, -96.3448,   9.8000
-0.6329,   0.0000,  -0.0000, -90.5008,   9.8000
-0.6379,   0.0000,  -0.0000, -84.6109,   9.8000
-0.6429,   0.0000,  -0.0000, -78.6779,   9.8000
-0.6479,   0.0000,  -0.0000, -72.7049,   9.8000
-0.6529,   0.0000,  -0.0000, -66.6949,   9.8000
-0.6579,   0.0000,  -0.0000, -60.6509,   9.8000
-0.6629,   0.0000,  -0.0000, -54.5760,   9.8000
-0.6679,   0.0000,  -0.0000, -48.4731,   9.8000
-0.6729,   0.0000,  -0.0000, -42.3455,   9.8000
-0.6779,   0.0000,  -0.0000, -36.1963,   9.8000
-0.6829,   0.0000,  -0.0000, -30.0286,   9.8000
-0.6879,   0.0000,  -0.0000, -23.8455,   9.8000
-0.6929,   0.0000,  -0.0000, -17.6502,   9.8000
-0.6979,   0.0000,  -0.0000, -11.4458,   9.8000
-0.7029,   0.0000,  -0.0000,  -5.2356,   9.8000
